	docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	category	shorttitle
589	nc01.ark+=13960=t9z034v7b	Thompson, Adele E			f	us		1906		1906	2	2		Boston;Lothrop, Lee & She		Revolution, 1775-1783|Uni	novel	Polly of the pines;
590	njp.32101068163854							1823		1823	3	3	vol.2	London;H. Colburn & Co.;1	Fiction		novel	Isabella. A novel
591	mdp.39015033964035	Valenzuela, Luisa			f	ar	1938-	1994		1994	1	1		London|New York|Serpents 	Humorous stories|Fiction	Fiction	novel	Bedside manners
592	nyp.33433075747141	Oliver, N. W			f			1835		1835	1	1		Worcester, [Mass.;C. Harr	Juvenile audience|Fiction		novel	Sephora : a Hebrew tale, descriptive of the country of Palestine, and of the manners and customs of the ancient Israelites
593	uiuo.ark+=13960=t6n01pv5m	Mills, John			m			1845		1845	3	3	v.1	London;T.C. Newby;1845.			novel	The old hall, or, Our hearth and homestead
594	uc1.$b71371	Armfield, Eugene Morehead			m	us	1904-1953.	1936		1936	2	2		New York|Covici-Friede|c1	Fiction		novel	Where the weak grow strong
595	wu.89092952837	James, Will			m	us	1892-1942.	1940		1940	1	1		New York|Scribner's|c1940	NotFiction	Horses|Fiction	shortstories	Horses I've known
596	mdp.39015000235500	Jhabvala, Ruth Prawer			f		1927-2013.	1976		1976	2	2		New York|Harper & Row|197	Fiction		novel	Heat and dust
597	uc1.b4462499	Keeble, John			m	us	1944-	1971		1971	1	1		New York|Grossman Publish	Fiction		novel	Crab canon
598	mdp.39015037491381	Nasaw, Jonathan Lewis			m	us	1947-	1996		1996	1	1		New York|Dutton|c1996.	Horror tales|Fiction	Vampires|California, Nort	novel	The world on blood
599	uc1.$b20576	Townsend, Walter			m		1899-	1930		1930	1	1		London|A. E. Marriott|193	NotFiction	Great Britain|Murder|Crim	novel	Black cap, murder will out
600	nyp.33433008142220	Oldham, Eiza S			f			1864		1864	3	3		Glasgow;Scottish Temperan	NotFiction		novel	By the Trent
601	coo.31924013487735	Warden, Florence	Price, Florence Alice		f	uk	1857-1929.	1891		1891	1	1		Leipzig;Heinemann and Bal	NotFiction		novel	Pretty Miss Smith
602	mdp.39015079305028	Leitch, Maurice			m	uk	1933-	2009		2009	1	1		Belfast|Lagan Press|2009.	Short stories		novel	Dining at the Dunbar
603	nyp.33433074968391	Dowie, MÃ©nie Muriel	Dowie, Ménie Muriel		f	uk	1867-1945.	1896		1896	1	1		New York;J. Lane;c1896	Fiction		shortstories	Some whims of fate
604	uc1.b4082845	Wolfe, Thomas					1900-1938.	1962		1938	1	1		New York|Scribner|1962	NotFiction		nonfic	The Thomas Wolfe reader
605	uc2.ark+=13960=t21c20786	Horlock, Knightley William			m	uk	1802-1882.	1860		1860	5	5	v.2	London;Hurst and Blackett	NotFiction		novel	Lord Fitzwarine
606	mdp.39015063226115	Conrad, Christine			f	us	1946-	2006		2006	1	1		Boston|Houghton Mifflin C	Domestic fiction|Novel|Lo	France|Young men|Fiction|	novel	Mademoiselle Benoir
607	uiuo.ark+=13960=t3rv0x09k	Davenport, Selina			f	uk	1779-1859.	1814		1814	4	4	v.2	London;Printed at the Min			novel	The hypocrite;
608	uc1.$b116695	Hathaway, Baxter			m	us	1909-1984.	1948		1948	1	1		Ithaca, N.Y.|Cornell Univ	NotFiction		shortstories	Writers for tomorrow;
609	umn.31951002377644r	comtesse de, Genlis, StÃ©phanie FÃ©licitÃ©	Comtesse de Genlis, Stéphanie Félicité du Crest de Saint-Aubin	Madame de Genlis	f	fr	1746-1830.	1846		1830	1	1		Boston;United States Pub.	NotFiction		novel	Alphonso and Dalinda, or, The magic of art and nature : a romance
610	mdp.39015030706777	Masters, Edgar Lee			m	us	1868-1950.	1924		1924	2	2		New York|Boni and Liverig	Fiction		novel	Mirage
611	wu.89098012495	Brine, Mary D. (Mary Dow)			f		1816-	1987		1987	1	1		London|Ernest Nister|New 	Juvenile audience|Fiction		reprint	The doings of a dear little couple
612	uc2.ark+=13960=t03x86861	Taylor, William			m	uk		1847		1847	2	2		London;T.C. Newby;Parry;B		Army|Military life|Great 	nonfic	Life in the ranks
613	coo.31924013798933	Plagemann, Bentz			m	us	1913-1991.	1955		1955	2	2		New York|McGraw-Hill|c195	NotFiction	Child rearing|Personal na	novel	This is Goggle; or, The education of a father
614	mdp.39015010783788	Porter, Anna Maria			f	uk	1780-1832.	1809		1809	8	6	v.3	London;Printed for Longma	Fiction|NotFiction	1554-1578|SebastiaÌƒo|Seba	novel	Don Sebastian; or, The House of Braganza an historical romance
615	uc1.b4411178	Panferov, Fedor Ivanovich			m	ru	1896-1960.	1939		1939	2	2		London|Putnam|1939	Fiction		novel	And then the harvest
616	uiuo.ark+=13960=t8df77x6r	Tytler, Sarah	Keddie, Henrietta		f	uk	1827-1914.	1882		1882	3	3	v.3	London;Smith, Elder, co.;			novel	Scotch marriages
617	mdp.39015024757794	Fetalvero, Benn M			m	ph	1926-	1955		1955	1	1		Manila?|the author|1955.	Fiction	Philippine fiction (Engli	novel	The harvest of thorns
618	uc1.32106015004911		Bolger, Dermot		m	ir	1959-	1999		1997	1	1		San Diego|Harcourt Brace|	Fiction	Irish authors|English fic	novel	Finbar's hotel
619	uc1.$b23610	Carew, Paul			m			1937		1937	1	1		London|S. Low, Marston|19	NotFiction	Adventure and adventurers	nonfic	Dust, dope and sawdust; the life story of Paul Carew
620	ucm.5324386384	BarÃ³n, Byron, George Gordon Byron					1788-1824.	1821		1821	1	1	Vol. 4	New York;E. Duyckinck and	Fiction		poetry	The works of Lord Byron
621	nyp.33433076073802	Wells, Carolyn			f	us	1862-1942.	1919		1919	1	1		Philadelphia;London;J.B. 	Mystery fiction|Fiction		novel	The diamond pin
622	uc1.b3778904	RamÃ­rez, Sergio	Mercado, Sergio Ramírez		m	nic	1942-	1984		1984	2	2	copy 2	New York, NY, USA|Readers	Fiction		novel	To bury our fathers : a novel of Nicaragua
623	njp.32101030687576							1806		1806	1	1	v.3	London;Printed and publis	NotFiction		shortstories	Classic Tales, Serious and Lively
624	mdp.39015030849932	Adlard, Mark	Adlard, Peter Marcus “Mark”		m	uk	1932-	1978		1978	1	1		New York|Summit Books|c19	Fiction		novel	The greenlander
625	mdp.39015031232757	DuBois, David Graham			m	us	1925-2005.	1975		1975	2	2		Palo Alto, Calif.|Rampart	Fiction		novel	And bid him sing : a novel
626	mdp.39015010682279	Wyse, Lois			f	us	1926-2007.	1974		1974	1	1		Garden City, N.Y.|Doubled	Fiction		novel	The Rosemary touch
627	uc2.ark+=13960=t7vm49d1s	Braddon, M. E. (Mary Elizabeth)			f	uk	1835-1915.	1886		1886	1	1		London;J. and R. Maxwell;			shortstories	Under the red flag, and other tales
628	uc1.b3473156	Pryce-Jones, David			m	uk	1936-	1967		1967	2	2		London|Weidenfeld & Nicol	Fiction		novel	The stranger's view
629	pst.000050297498	Hamilton, Tamsin						1980		1980	1	1		New York|Seaview Books|c1	War stories|Fiction|Histo	1940-1944|History|Fiction	novel	Paris in the fall
630	uiuo.ark+=13960=t79s2gq4b	Holstein, Anthony Frederick						1810		1810	4	4	v.3	London;Printed at the Min			novel	The miseries of an heiress
631	uc1.b3037091							1821		1821	1	1	v.2	London;Hurst, Robinson an	NotFiction		reprint	Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott]
632	mdp.39015047453298	Humphreys, Emyr			m	uk	1919-	1998		1998	1	1		Bridgend, Wales|Seren|199	Domestic fiction|NotFicti	Tuscany|Married people|An	novel	The gift of a daughter
633	uc1.$b799542	GuÃ©rard, Albert J. (Albert Joseph)	Guerard, Albert Joseph		m	us	1914-2000.	1945		1945	3	3		New York|A. A. Knopf|1945	Fiction|NotFiction	Fiction|World War, 1939-1	novel	Maquisard, a Christmas tale
634	mdp.39015012117514	Garfield, Leon			m	uk	1921-1996.	1971		1971	1	1		New York|Pantheon Books|1	UnknownGenre		novel|juvenile	The god beneath the sea
635	uc2.ark+=13960=t9571dq8v	James, G. P. R. (George Payne Rainsford)			m	uk	1799-1860.	1847		1847	6	6	v.0003	London;Smith, Elder, & co			novel	The convict;
636	mdp.39015005775120	Lenski, Lois			f	us	1893-1974.	1941		1941	1	1		Philadelphia|J.B. Lippinc	UnknownGenre	Fiction|Jemison, Mary|174	juvenile	Indian captive: the story of Mary Jemison
637	uc2.ark+=13960=t78s4nw43	Oertel, Wilhelm	Wilhelm Philipp Oertel, Friedrich 	von Horn, W.O.	m	de	1798-1867.	1856		1856	1	1		New York;Ernst Kaufmann;1			novel	Simon
638	mdp.39015012063759	BelprÃ©, Pura	Belpré, Pura		f	pr	1899-1982.	1932		1932	1	1		New York|London|F. Wane &	UnknownGenre		juvenile	Perez and Martina, a Portorican folk tale
639	uiuo.ark+=13960=t2794hz6s	Hopton, Anna Maria			f			1858		1858	2	2	v.1	Oxford;J. Henry and J. Pa			novel	Dawn and twilight
640	uc1.$b56750	Gunn, Neil Miller			m	uk	1891-1973.	1937		1937	1	1		Philadelphia|London|J. B.	NotFiction		novel	Highland river
641	uc1.b3346770	Mead, Shepherd			m	us	1914-1994.	1954		1954	1	1		New York|Simon and Schust	Fiction		novel	The big ball of wax; a story of tomorrow's happy world, a novel
642	uc1.$b102148	Hergesheimer, Joseph			m	us	1880-1954.	1929		1929	1	1		London|E. Mathews & Marro	NotFiction		novel	Triall by armes
643	pst.000027248546	Cronin, A. J. (Archibald Joseph)			m	uk	1896-1981.	1959	1937.0	1959	1	1		Boston|Little, Brown|1959	NotFiction		novel	The citadel, and The keys of the kingdom : two complete novels
644	uc1.b4362506	Wilkinson, Sylvia			f	us	1940-	1982		1982	2	2		New York, N.Y.|Putnam|c19	Fiction		novel	Bone of my bones
645	mdp.39015016435284	Keeley, Edmund			m	us	1928-	1958		1958	2	2		New York|Scribner|1958	Fiction		novel	The libation
646	mdp.39015030742780	Douglas, Robin					1902-	1925		1925	1	1		London|A.M. Philpot, ltd.	UnknownGenre		novel	16 to 21
647	uiuo.ark+=13960=t9p27jk9d	West	West, Jane	Mrs. West|Homespun, Prudentia	f	uk	1758-1852.	1814		1814	4	4	v.1	London;Printed for Longma			novel	Alicia de Lacy;
648	mdp.39015037474619	Fowler, Connie May			f	us	1960-	1996		1996	2	2		New York|G.P. Putnam's So	Domestic fiction|Fiction|	Florida|Fiction|Families|	novel	Before women had wings
649	uiuo.ark+=13960=t3805qq41	Sedley, Charles						1807		1807	3	3	v.2	London;Hughes;1807.			reprint	The infidel mother: or, Three winters in London
650	pst.000062841405	Dickens, Charles					1812-1870.	1868		1868	1	1		New York;Books Inc.;1868?	NotFiction		nonfic	Works : Hard times for these times, Pictures from Italy, Mrs. Lirriper's lodgings, Mrs. Lirriper's legacy
651	mdp.39015014158185	Bradbury, Ray			m	us	1920-2012.	1988	1984.0	1988	1	1		New York|Knopf|1988.	Fiction		shortstories	The Toynbee convector
652	nyp.33433082257449							1831		1831	1	1		New York;J.C. Riker;1831.	NotFiction		novel	The Hyacinth
653	uc2.ark+=13960=t7pn8xw86	Seawell, Molly Elliot			f	us	1860-1916.	1900		1900	3	3		New York;Charles Scribner	Fiction|NotFiction	American fiction	novel	The house of Egremont
654	mdp.39015012201979							1970		1970	1	1		Moscow|Progress Publisher	UnknownGenre	American fiction|19th cen	shortstories	Nineteenth century American short stories
655	pst.000027630617	Ambler, Eric		Reed, Eliot	m	uk	1909-1998.	1959		1959	3	3		New York|Knopf|1967, [c19	Fiction|NotFiction		novel	Passage of arms
656	pst.000021269554	Bishop, Claire Huchet			f	us	1898-1993.	1981	1953.0	1981	1	1	1992	New York|Viking Press|199	NotFiction		juvenile	All alone
657	nyp.33433082290754	Author of Ellen Herbert						1848		1848	1	1		New York;Harper & Brother	Juvenile audience|Fiction	Children's stories, Engli	novel	William the cottager
658	uc1.32106009785699	Peters, Daniel			m	us		1991		1991	1	1		New York|Random House|199	Fiction	Incas|Fiction	novel	The Incas : a novel
659	uc1.32106005276909		Kolupaev, Viktor Dmitrievič		m	ru	1936-2001.	1981	1972.0	1981	2	2		New York|Macmillan|c1981.	Fiction	Translations into English	novel	World's spring
660	loc.ark+=13960=t4pk12p1m	Salvo, Carlo						1808		1808	1	1		Troy, N.Y.;Published by W		Description and travel|Po	nonfic	Travels in the year 1806, from Italy to England
661	mdp.39015032141841	Semenov, IÍ¡Ulian	Lyandres, Yulian Semyonovich	Semyonov, Yulian Semyonovich	m	ru	1931-1993.	1973	1969.0	1973	2	2		Moscow|Progress Publisher	War stories|Fiction	Fiction|Soviet Union|Worl	novel	Seventeen moments of spring
662	uc1.b3325717	Oliphant, Mrs. (Margaret)	Oliphant, Margaret		f	uk	1828-1897.	1886		1886	4	4	v. 1	London;W. Blackwood;1886.	NotFiction		novel	A House divided against itself
663	uiuo.ark+=13960=t6f19g419	Kelly, Isabella			f	uk	1759-1857.	1813		1813	4	4	v.3	London;J. Souter, sold by			novel	Jane de Dunstanville, or, Characters as they are
664	mdp.39015054073187							1980		1980	1	1		New York|Arbor House : [d	Fiction	Science fiction, American	reprint	The Arbor House treasury of modern science fiction
665	nnc1.1002163250							1875		1875	1	1		Philadelphia;P. F. Cunnin	NotFiction		novel	Leandro; or, the sign of the cross. A Catholic tale
666	uiuo.ark+=13960=t0gt67j4p	Parker, Emma			f	uk		1813		1813	3	3	v.3	London;Printed for B. and			novel	Aretas
667	mdp.39015013446680	Snorri Sturluson					1179?-1241.	1906		1906	6	6	v.2	London;New York [etc.;Nor	History|UnknownGenre|NotF	History	reprint	The Heimskringla, a history of the Norse kings
668	uc1.b3406949	Schatz, Letta						1964		1964	1	1		New York|McGraw-Hill|1964	NotFiction		juvenile	Taiwo and her twin
669	uva.x030825524	Dumas, Alexandre			m	fr	1802-1870.	1893	1847.0	1870	11	10	v.14 1893	Boston;Estes and Lauriat;	Fiction|UnknownGenre|NotF	Henry III, 1574-1589|Hist	reprint	The forty-five
670	uiuo.ark+=13960=t1hh6st5v	Charlton, Mary			f			1805		1805	2	2	v.2	London;Printed at the Min			novel	The homicide
671	uc1.31822038205928	Winter, Charles E. (Charles Edward)			m	us	1870-1948.	1907		1907	1	1		New York;J.J. Little & Iv	Fiction		novel	Grandon of Sierra
672	nyp.33433074927645							1820		1820	2	2	v. 11 (History of Sir Charles Grandison; part 3)	London;s.n.;1820.	NotFiction	English literature	nonfic	The British novelists; with an essay, and prefaces, biographical and critical
673	uiuo.ark+=13960=t4qj7s022	Damer, Anne Seymour Conway			f	uk	1748-1828.	1801		1801	3	3	v.2	London;J. Johnson;1801.			novel	Belmour
674	mdp.39076005051995	Thomas, Dylan					1914-1953.	1955	1938.0	1953	2	1		London|Putnam|1955.	Fiction		shortstories	Adventures in the skin trade
675	nyp.33433074940473	Boothby, Guy Newell			m	au	1867-1905.	1903	1900.0	1903	1	1		New York;New Amsterdam Bo	Fiction	English fiction	novel	The viceroy's protegé; or, A prince of swindlers
676	mdp.39015031325965	Hutchins, Maude			f	us	1899-1991.	1952		1952	2	2		New York|1952	Fiction		shortstories	Love is a pie. : Stories and plays
677	mdp.39015056248704	Chapman, Clay McLeod			m	us		2003		2003	1	1		New York|Hyperion|c2003.	Fiction	Traffic accidents|Loss (P	novel	Miss corpus
678	uc1.b4396391	Messick, Hank			m	us	1922-1999.	1968		1968	1	1		New York|Macmillan|1968	NotFiction	Miami-Dade County|Florida	novel	Syndicate in the sun
679	uiuo.ark+=13960=t7cr65n7z	Daniel, Mackenzie			f			1852		1852	3	3	v.2	London;Newby;1852			novel	The student's wife
680	mdp.39015063560687	Hewlett, J. (Joseph)			m	uk	1800-1847.	1841		1841	4	4	v.2	London;Henry Colburn;1841	Fiction		novel	The parish clerk
681	mdp.39015003341198	Fine, Warren			m			1971		1971	1	1		New York|Knopf|1971.	Fiction		novel	In the animal kingdom
682	njp.32101066478106	Banim, John			m	ir	1798-1842.	1827		1827	2	2	v.3	London;H. Colburn;1827.	Fiction	Social life and customs|F	novel	Peter of the castle
683	nyp.33433074868120	Hofland, (Barbara), Mrs	Hofland, Barbara		f	uk	1770-1844.	1830		1830	2	2		New York;W. B. Gilley;183	Fiction	English fiction|Comanche 	novel	The stolen boy: a story, founded on facts
684	osu.32435067907899	Williams, Wright						1940		1940	1	1		New York|Phoenix Press Pu	Love stories|Fiction	Women|Fiction|Conduct of 	novel	Percentage girl
685	uc2.ark+=13960=t3xs5q96f	Porter, Jane			f	uk	1776-1850.	1824		1824	7	7	v.2	London;Longman, Hurst, Re	Fiction	duke of Brunswick-LÃ¼nebur	novel	Duke Christian of Luneburg
686	njp.32101066459312	Gleig, G. R. (George Robert)			m	uk	1796-1888.	1837		1837	3	3	v.2	London;H. Colburn;1837.	Fiction	English literature|Fictio	novel	The Hussar
687	mdp.39015019985244	Bates, H. E. (Herbert Ernest)			m	uk	1905-1974.	1943		1943	1	1		London|J. Cape|1943	NotFiction	Aerial operations|Great B	shortstories	How sleep the brave, and other stories
688	uiuo.ark+=13960=t6vx11m1v	Yates, Edmund Hodgson			m	uk	1831-1894.	1864		1864	3	3	v.3	London;J. Maxwell;1864.			novel	Broken to harness
689	uc2.ark+=13960=t5h99dp46							1900		1900	1	1		London;Stevens;1900?			novel	The Mystery of Woodcroft
690	uc1.$b243356	Hughes, Rupert			m	us	1872-1956.	1926		1926	1	1		New York|London|Harper & 	Fiction		novel	The old home town; a novel
691	uc1.b3123724	Bryant, John Delavan			m		1811-1877.	1847		1847	1	1	v. 2	Baltimore;Printed and pub	Fiction		novel	Pauline Seward. A tale of real life
692	nyp.33433010974719	Miller, Olive Thorne	Miller, Harriet Mann	Thone, Oliver|Miller, Oliver Thorne	f	us	1831-1918.	1897	1888.0	1897	1	1		Boston and;New York;Hough	NotFiction	Birds	novel	In nesting time;
693	mdp.39015066648810	Mauriac, FranÃ§ois	Mauriac, François		m	fr	1885-1970.	1950	1922.0	1950	3	3		London|Eyre & Spottiswood	Fiction		reprint	A kiss for the leper =Le baiser au lÃ©preux ; [Genetrix]
694	uc1.b3868721	Coxe, George Harmon			m	us	1901-1984.	1965		1964	1	1		New York|Knopf|1965 [c196	Fiction		novel	With intent to kill
695	mdp.39015010702044	Gamow, George			m	us	1904-1968.	1944	1945.0	1944	3	3		New York|The Macmillan co	UnknownGenre|NotFiction	Atoms	novel	Mr Tompkins explores the atom
696	inu.30000121043115							1885		1885	1	1	v.13	Denver, Col.;Burton Club;	NotFiction		reprint	Plain and literal translation of the Arabian nights entertainments; now entituled the book of the Thousand nights and a night
697	nyp.33433005069681	May, Annie			f			1863		1863	1	1		Boston;W.H. Hill;1863.	Fiction		shortstories|juvenile	Stories for you
698	uc2.ark+=13960=t3ws8jc3n	Webb, Kate Cope			f			1912		1912	1	1		San Francisco;R.J. Orozco			novel	Arthur in shadow and sunshine
699	hvd.32044086802147							1823		1823	1	1		London;T. and G. Underwoo	NotFiction		shortstories	Tales of my father, and my friends
700	uc1.b3346167	Baker, Dorothy			f	us	1907-1968.	1948		1948	1	1		Boston|Houghton Mifflin C	NotFiction		novel	Our gifted son
701	mdp.39015013435667	Moberg, Vilhelm			m	sw	1898-1973.	1937		1937	2	2		New York|Simon and Schust	NotFiction		novel	Memory of youth
702	uiuo.ark+=13960=t1wd4k28k	Disraeli, Benjamin, Earl of Beaconsfield			m	uk	1804-1881.	1831		1831	10	4	v.1	London;Henry Colburn and 	Political fiction|NotFict	Fathers and sons|Young me	novel	The young duke
703	uc1.$b497750	Rekemchuk, Aleksandr			m	ukr	1927-2017.	1972		1972	1	1		Moscow|Progress Publisher	Fiction	Fiction	novel	Boys who did a-singing go; a novel
704	nyp.33433075861835	Yonge, Charlotte M. (Charlotte Mary)			f	uk	1823-1901.	1893		1893	1	1		New York;T. Whittaker;c18	Fiction		novel	The treasures in the marshes
705	nyp.33433076032386	Cooper, James Fenimore			m	us	1789-1851.	1859	1835.0	1851	1	1	v. 15 The Monikins	New York;W. A. Townsend;1	NotFiction		novel	The Monikins
706	pst.000007265099	Wyndham, Lee			m		1912-	1955		1955	1	1		New York|Scholastic Book 	NotFiction		juvenile	Susie and the ballet family
707	njp.32101068177094	Du Bois, Edward			m	uk	1774-1850.	1803	1801.0	1803	3	3	vol.2	London;T.N. Longman and O	Fiction		novel	Old Nick; a satirical story
708	uc2.ark+=13960=t9p26r397	Miller, Warren Hastings			m	us	1876-1920.	1920		1920	1	1		New York;London;D. Applet			novel	The ring-necked grizzly
709	mdp.39015063923570	Hopkins, Tighe			m	uk	1856-1919.	1891		1891	1	1		New York;D. Appleton & co	Fiction		novel	The Nugents of Carriconns, an Irish story
710	mdp.39015064002739	Bray, (Anna Eliza), Mrs	Bray, Anna Eliza		f	uk	1790-1883.	1815		1815	3	1	v.2	London;Longman, Brown, Gr	Fiction		novel	De Foix
711	nyp.33433076078843	Scott, Walter, Sir			m	uk	1771-1832.	1845	1814.0	1832	1	1	v. 1	Leipzig;B. Tauchnitz;1845	Fiction		reprint	Waverley novels
712	uiuo.ark+=13960=t0sq9m438	Hook, Theodore Edward			m	uk	1788-1841.	1808		1808	5	3	v.2	London;S. Tipper;1808.	Fiction		novel	The man of sorrow;
713	hvd.hn2he5							1800		1800	1	1		London;Printed for Vernor	Fiction		novel	The Governess, or, Evening amusements at a boarding school
714	nnc1.1002173220	Cone, Joe			m	us	1869-	1905		1905	1	1		Boston;The Colonial press	Fiction		novel	The waybackers
715	uiuo.ark:/13960/t1kh1680z	Price, Eleanor C. (Eleanor Catherine)			f			1983		1983	3	3	v.3	London|Chatto & Windus|18	Fiction	823P926F	novel	The foreigners : a novel
716	uc2.ark+=13960=t3qv3kf93	Gissing, George			m	uk	1857-1903.	1898		1898	6	4		London;Methuen & Co.;1898	Fiction		novel	The town traveller
717	mdp.39015003350058	English, Isobel	Braybrooke, June Guesdon	English, Isobel	f	uk	1920-1994.	1973		1973	1	1		London|Martin Brian & O'K	Fiction		shortstories	Life after all, and other stories
718	uiuo.ark+=13960=t5fb5pp94	Rowcroft, Charles			m	uk	1798-1856.	1843		1843	4	4	v.2	London;Saunders & Otley;1	Fiction	Tasmania|Frontier and pio	shortstories	Tales of the colonies, or, The adventures of an emigrant
719	uc1.b3810812	Bright, A. D						1901		1901	1	1		Shrewsbury, Eng.;L. Wildi	NotFiction	Maori (New Zealand people	shortstories	Three Xmas gifts, and other tales
720	uc1.b3687408	Cain, James M. (James Mallahan)			m	us	1892-1977.	1948		1948	2	2		New York|A.A. Knopf|1948.	NotFiction	larpcal|Romance Norte Ame	novel	The moth
721	uc1.b3189834	Shemin, Margaretha			f			1963		1963	1	1		Coward-McCann|1963	NotFiction		juvenile	The little riders
722	wu.89088299805	Lover, Samuel			m	ir	1797-1868.	1854	1841.0	1854	10	1		Philadelphia;Coates;1854?	Bibliographies|Fiction|No	Fiction|English literatur	novel	Handy Andy : a tale of Irish life
723	mdp.39076002869191	Salibian-Best, Marie			f	arm		2005		2005	1	1		Warfield, Berkshire [Engl	Fiction	Armenians|Cyprus|Fiction|	novel	Antaram
724	uc2.ark+=13960=t1qf8q78s	Hook, Theodore Edward			m	uk	1788-1841.	1825		1825	4	4	v.2	London;Printed for H. Col			shortstories	Sayings and Doings
725	mdp.39015058727135	Gaskin, Catherine			f	au	1929-2009.	1972		1972	1	1		Garden City, N.Y.|Doubled	Novel		novel	A falcon for a queen
726	uc1.32106019618427	Edgeworth, Maria			f	ir	1767-1849.	1832	1812.0	1832	1	1	v.10	London;Baldwin and Cradoc	NotFiction		reprint	The Absentee|Madame de Fluery|Emilie de Coulanges|The Modern Griselda
727	mdp.39015066071013							1959		1959	2	2		New York|Dutton|1959.	NotFiction	Short stories	shortstories	Best short stories
728	uc2.ark+=13960=t28911z65	Crawford, F. Marion (Francis Marion)			m	us	1854-1909.	1893	1884.0	1893	1	1		New York;London;Macmillan			novel	A Roman singer
729	pst.000002675138							1974		1974	1	1		New York|Putnam|c1974.	Science fiction|NotFictio		shortstories	SF : authors' choice 4
730	njp.32101068174737	Jameson, Margaret			f			1887		1887	3	3	vol.1	London;Tinsley Brothers;1	Fiction		novel	Training : a tale of North-country life
731	uiuo.ark+=13960=t8gf1dn6k	Beall, Noble Y						1823		1823	2	2	v.1	Edinburgh;Printed for the			novel	Precipitance;
732	uc1.b3545567							1940		1940	1	1		New York|Simon and Schust	UnknownGenre	Short stories, American|A	shortstories	Short stories from the New Yorker
733	nc01.ark+=13960=t2t44984x	Collins, Clarence B			m	us		1890		1890	1	1		Richmond, Va.;E. Waddey;1		United States|Civil War, 	novel	Tom and Joe
734	uiuo.ark+=13960=t0ht2zr4v	Crumpe			f			1823		1823	3	3	v.2	Edinburgh;printed for A. 			novel	Isabel St. Albe, or Vice and virtue
735	uc2.ark+=13960=t8kd1s16n	Meredith, Ellis			f	us	1865-1955.	1901		1901	1	1		Boston;Little, Brown, and			novel	The master-knot of human fate
736	mdp.39015071422854	Hanks, S. W. (Stedman Wright)			m	us	1811-1889.	1879		1879	1	1		Boston;D. Lothrop;c1879.	Allegories|Fiction	United States|Temperance|	novel	The Crystal River turned upon the Black Valley railroad and Black Valley country : a temperance allegory
737	mdp.39015038098920	Slaughter, Carolyn			f	uk	1946-	1986		1986	2	2		London|Viking|1986.	Fiction		novel	The innocents
738	mdp.39015078556472							1890		1890	1	1		London;New York;Raphael T	Juvenile audience|Fiction	Shipwreck survival|Juveni	reprint	Robinson Crusoe
739	mdp.39076002560766	Goudge, Elizabeth	Goudge, Elizabeth de Beauchamp		f	uk	1900-1984.	1951		1951	1	1		New York|Coward-McCann|c1	Fiction	Perseverance (Ethics)|Fan	novel	The Valley of Song
740	hvd.hn5dn6	Lee, Hannah Farnham Sawyer			f	us	1780-1865.	1837		1837	2	2		Boston;Whipple and Damrel	NotFiction		novel	The contrast : or, Modes of education
741	mdp.39015034346216	La Guma, Alex			m	sa	1925-1985.	1962		1962	1	1		Ibadan|Mbari Publications	NotFiction		shortstories	A walk in the night
742	mdp.39015033665715							1884		1884	1	1		London [etc.;Williams and	NotFiction	Agnosticism	novel	An agnostic's progress from the known to the unknown
743	inu.32000006900023	Collins, Mortimer			m	uk	1827-1876.	1878		1876	3	3	v.1	London;R. Bentley and Son	Fiction		novel	You play me false : a novel
744	mdp.39015034282858	Montemayor, Carlos			m	me	1947-2010.	1995	1980.0	1995	1	1		Kaneohe, Hawaii|Plover Pr	Domestic fiction|Fiction	Miners|Fiction|Mexico, No	novel	Blood relations
745	mdp.39015026439300	Rubin, Theodore Isaac			m	us	1923-	1966		1965	1	1		New York|Ballantine|1966,	Fiction		novel	Platzo and the Mexican pony rider
746	hvd.hn2gfm	Hall, S. C., Mrs	Hall, Anna Maria		f	ir	1800-1881.	1830		1830	1	1		Boston;Cottons and Barnar	NotFiction		shortstories|juvenile	Chronicles of a school room
747	hvd.hx2qhf	Thomas, Francis					1799-1876.	1845		1845	2	2		S.l.;s.n.;1845	NotFiction	Thomas, Francis|1799-1876	nonfic	Statement of Francis Thomas [concerning his domestic grievances]Microform
748	mdp.39015011369454	Tiktin, Carl			m			1979		1979	1	1		New York|Arbor House|c197	Fiction		novel	Ron
749	nyp.33433081995049	Scott, Walter, Sir			m	uk	1771-1832.	1836	1821.0	1832	1	1	v. 23	London;Fisher;1836-39.	Novel		novel	Kenilworth
750	uc1.b4088969	Shaw, Irwin			m	us	1913-1984.	1965		1965	2	2		New York|Delacorte Press|	Short stories|Publishers'		shortstories	Love on a dark street : and other stories
751	njp.32101066458470	Coxe, Eliza A			f	uk		1813		1813	3	3	v.2	London;Printed by E. & H.			novel	Liberality and prejudice : a tale
752	uiuo.ark+=13960=t2697sc0d	Stephens, George			m	uk	1800-1851.	1835		1835	3	3	v.2	London;Smith, Elder;1835.			novel	The manuscripts of Erdély
