"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"uc1.32106015834119"	1	"Nobbs, David"	"1935-2015"	"novel"	1			"m"	"Fiction"	"London|Heinemann|2000"	2000	2000	"uk"			"Going gently"	
"mdp.39015048561743"	1	"Blackthorn, John"		"novel"	1			"m"	"Political fiction|Love st"	"New York|W. Morrow & Co.|"	2000	2000	"us"	"Blackthorn, John"		"I, Che Guevara : a novel"	"1928-1967|Fiction|Guevara"
"mdp.39015047868222"	1	"West, Paul"	"1930-2015."	"novel"	1			"m"	"Western stories|Biographi"	"New York|Scribner|c2000."	2000	2000	"us"			"O.K. : the corral, the Earps, and Doc Holliday : a novel"	"Criminals|Earp, Wyatt|Hol"
"mdp.39015049970133"	1	"Winer, Delsa"	"1937-"	"novel"	1			"f"	"Psychological fiction|Fic"	"New York|Simon & Schuster"	2000	2000	"us"			"Almost strangers : a novel"	"Shipwreck survival|Absenc"
"pst.000056601855"	1	"Roosevelt, Elliott"	"1910-1990"	"novel"	1		1993	"m"	"Mystery fiction|Fiction|H"	"Thorndike, Me.|Center Poi"	2001	1990	"us"			"New deal for death : a ""Blackjack"" Endicott novel"	"Large type books|Roosevel"
"uc1.32106016894641"	1	"Ikezawa, Natsuki"	"1945-"	"novel"	1		2000	"m"	"Novel|Suspense fiction"	"Tokyo|New York|Kodansha I"	2001	2001	"jp"			"A burden of flowers"	"Fiction|Drug traffic|Sout"
"mdp.39015053746841"	1	"Weldon, Fay"	"1931-"	"novel"	1		2001	"f"	"Novel"	"London|Flamingo|2001, c20"	2001	2000	"uk"			"The Bulgari connection"	"London|England|Fiction|Up"
"mdp.39015050483042"	1	"Picano, Felice"	"1944-"	"novel"	1			"m"	"Fiction"	"Los Angeles|Alyson Books|"	2001	2001	"us"			"Onyx"	"Fiction|Gay men"
"mdp.39015053114891"	1	"Garwood, Julie"		"novel"	1			"f"	"Fiction"	"New York|Pocket Books|200"	2001	2001	"us"			"Mercy"	"Louisiana|Fiction|Lawyers"
"inu.30000088035518"	1	"Agu, Chukwudi"		"novel"	1			"m"	"Fiction"	"Enugu, Enugu State, Niger"	2001	2001				"No easy road : a novel"	
"pst.000056848915"	1	"Roberts, Nora"	"b. 1950"	"novel"	1			"f"	"Love stories, American|No"	"New York|Jove Books|c2001"	2001	2001	"us"			"Heaven and earth"	"Policewomen|Witches|New E"
"mdp.39015050487779"	1	"Payne, Johnny"	"1958-"	"novel"	1			"m"	"Fiction|Satire"	"Evanston, Ill.|TriQuarter"	2001	2001	"us"			"North of Patagonia"	"Fiction"
"mdp.39015050488132"	1	"Welsh, Irvine"	"1958-"	"novel"	1			"m"	"Fiction"	"London|Jonathan Cape|2001"	2001	2001	"uk"			"Glue"	"Edinburgh|Scotland|Fictio"
"mdp.39015053143296"	1	"Weiner, Steve"	"1947-"	"novel"	1			"m"	"Fiction"	"Woodstock, NY|Overlook Pr"	2001	2001				"The yellow sailor"	"Shipwreck survival|Fictio"
"mdp.49015002623982"	1	"Welch, Pat"	"1957-"	"novel"	1			"f"	"Mystery fiction|Fiction"	"Ferndale, Mich.|Bella Boo"	2001	2001	"us"			"Moving targets : a Helen Black mystery"	"Women detectives|Lesbians"
"mdp.39015053378181"	1	"Griffiths, Niall"	"1966-"	"novel"	1			"m"	"Fiction"	"London|Jonathan Cape|2001"	2001	2001	"uk"			"Sheepshagger"	"Nationalism|Fiction|Reven"
"inu.30000100497357"	1	"Pope, Dudley"	"1925-1997."	"novel"	1		1986	"m"	"Sea stories|War stories|F"	"Ithaca, N.Y.|McBooks Pres"	2002	1986	"uk"			"Ramage at Trafalgar"	"Trafalgar, Battle of, 180"
"coo.31924105504561"	1	"Gordimer, Nadine"	"1923-2004"	"novel"	1		2001	"f"	"Bibliographies|Fiction"	"New York|Penguin Books|20"	2002	2002	"sa"			"The pickup"	
"mdp.39015055883816"	1	"Gornick, Lisa"	"1956-"	"novel"	1			"f"	"Fiction"	"Chapel Hill, N.C.|Algonqu"	2002	2002	"us"			"A private sorcery : a novel"	"Psychotherapist and patie"
"mdp.39015055478666"	1	"Zafris, Nancy"		"novel"	1			"f"	"Fiction"	"New York|BlueHen Books|20"	2002	2002	"us"			"The metal shredders"	"Family-owned business ent"
"mdp.39015055900172"	1	"Burke, Sean"	"1961-"	"novel"	1			"m"	"Fiction"	"London|Serpent's Tail|200"	2002	2002	"ir"			"Deadwater"	"Fiction"
"mdp.39015054266831"	1	"Faber, Michel"	"b. 1960"	"novel"	1			"m"	"Fiction"	"Edinburgh|Canongate|2002."	2002	2002	"ne"			"The Courage Consort"	"Vocal ensembles|Fiction"
"mdp.39015058831424"	1	"Collison, Kerry B"		"novel"	1			"m"	"Novel"	"Hartwell, Vic., Australia"	2002	2002	"au"			"Indonesian gold"	"Government policy|Fiction"
"pst.000050615414"	1	"Itule, Bruce D"	"1947-"	"novel"	1			"m"	"Fiction"	"Mesa, AZ|Thunder Mountain"	2003	2003	"us"			"The gold of San Xavier"	"Fiction|Mission San Xavie"
"mdp.39015056909438"	1	"Madhavan, Cauvery"	"b. 1962"	"novel"	1			"m"	"Novel"	"London|BlackAmber Books|2"	2003	2003	"uk"			"The uncoupling"	"Married people|Fiction|In"
"inu.30000107396149"	1	"Morountonu, Femi"	"1967-"	"novel"	1			"f"	"Fiction"	"Osogbo, Osun State [Niger"	2003	2003				"This is our time"	
"inu.30000107494209"	1	"Okafor, Rose Chinwe"		"novel"	1			"f"	"Novel"	"Onitsha [Nigeria|Obison P"	2003	2003				"The young and the old"	
"mdp.39015061160530"	1	"Mitchell, Kirk"	"b. 1950"	"novel"	1			"m"	"Novel|Mystery fiction"	"New York|Berkley Prime Cr"	2003	2003	"us"			"Sky woman falling"	"Oneida Indians|Indians of"
"mdp.39015056287512"	1	"Egerton, Frank"	"b. 1959"	"novel"	1			"m"	"Novel"	"Gwynedd|Smaller Sky|2003."	2003	2003	"uk"			"The lock"	"Sexual behavior|Adultery|"
"mdp.39015056671277"	1	"Trujillo, Carla"		"novel"	1			"f"	"Fiction"	"Willimantic, CT|Curbstone"	2003	2003	"us"			"What night brings : a novel"	"Fiction|Mexican American "
"mdp.39015056838231"	1	"Martin, Lee"	"1955-"	"novel"	1			"m"	"Fiction|ContainsBiogMater"	"Lincoln|University of Neb"	2003	2003	"us"			"Turning bones"	"Family|Farm life|Homes an"
"mdp.39015056479358"	1	"Blanchard, Keith"	"1966-"	"novel"	1			"m"	"Fiction"	"New York|Simon & Schuster"	2003	2003	"us"			"The deed : a novel"	"Deeds|Fiction"
"mdp.39015056248704"	1	"Chapman, Clay McLeod"		"novel"	1			"m"	"Fiction"	"New York|Hyperion|c2003."	2003	2003	"us"			"Miss corpus"	"Traffic accidents|Loss (P"
"mdp.39015060075960"	1	"Rosencof, Mauricio"	"b. 1933"	"novel"	1		2000	"m"	"Fiction"	"Albuquerque|University of"	2004	2004	"uy"			"The letters that never came"	"Uruguay|Jews|Authors, Uru"
"mdp.39015059119886"	1	"Nissen, Thisbe"	"1972-"	"novel"	1			"f"	"Domestic fiction|Novel|Ps"	"New York|Alfred A. Knopf|"	2004	2004	"us"			"Osprey Island"	"Single mothers|Accident v"
"mdp.39015060059204"	1	"Gregory, Patrick (Patrick Bolton)"		"novel"	1			"m"	"Novel|Historical fiction"	"Syracuse, N.Y.|Syracuse U"	2004	2004	"us"			"The daguerreotype : a novel"	"Emigration and immigratio"
"inu.30000111224493"	1	"Okoro, Anezi"	"b. 1929"	"novel"	1			"m"	"Fiction|Science fiction"	"Enugu, Enugu State, Niger"	2004	2004	"ni"			"Flying Tortoise : a novel"	
"mdp.39015062045086"	1	"Guha, Buddhadeba"	"1936-"	"novel"	1			"m"	"Fiction"	"New Delhi|Rupa & Co.|2004"	2004	2004	"in"			"The bounty of the Goddess"	
"mdp.39015060067975"	1	"Jin, Ha"	"1956-"	"novel"	1			"m"	"Bibliographies|Fiction"	"New York|Pantheon Books|2"	2004	2004	"ch"	"Jin, Ha"	"Jin, Xuefei"	"War trash"	"Korean War, 1950-1953|Fic"
"mdp.39015059159650"	1	"Parsons, Tony"	"1953-"	"novel"	1			"m"	"Fiction"	"London|HarperCollins|2004"	2004	2004	"uk"			"The family way"	"Fiction|Sisters|Parenthoo"
"pst.000054302082"	1	"Johnson, R. M. (Rodney Marcus)"	"1968-"	"novel"	1			"m"	"Legal stories|Psychologic"	"New York|Simon & Schuster"	2004	2004	"us"			"The Million Dollar Divorce: A Novel"	"Separation (Psychology)|F"
"mdp.39015059168735"	1	"Ghosh, Amitav"	"1956-"	"novel"	1			"m"	"Fiction"	"London|HarperCollins|2004"	2004	2004	"in"			"The hungry tide"	"Fiction"
"mdp.39015060836171"	1	"Escand�n, Mar�a Amparo"	"b. 1957"	"novel"	1			"f"	"Domestic fiction|Novel|Ps"	"New York|Three Rivers Pre"	2005	2005	"me"			"Gonz�lez and Daughter Trucking Co. : a road novel with literary license"	"Fiction|Women prisoners|T"
"uc1.32106018712015"	2	"Dean, Louise"	"b. 1970"	"novel"	2			"f"	"Fiction"	"London|Scribner|2005"	2005	2005	"uk"			"This human season"	"Maze Prison (Lisburn, Nor"
"mdp.39015066783013"	1	"Block, Elizabeth (Elizabeth Ruth)"		"novel"	1			"f"	"Psychological fiction|Exp"	"New York|Spuyten Duyvil|c"	2005	2005	"us"		"Block, Elizabeth Ruth"	"A gesture through time"	"Fiction|Motion picture au"
"mdp.39015063268497"	1	"Mesler, Corey"		"novel"	1				"NotFiction"	"Livingston, AL|Livingston"	2005	2005				"We are billion-year-old carbon : a tribal-love-rock-novel set in the sixties on an outpost planet called Memphis"	"Fiction"
"mdp.39015060667444"	1	"Gale, Patrick"	"1962-"	"novel"	1			"m"	"Fiction"	"London|New York|Fourth Es"	2005	2005	"uk"			"Friendly fire"	"Fiction|Bildungsromans|Ed"
"mdp.39015064116265"	1	"Khan, Aminuddin"	"1932-"	"novel"	1			"m"	"Fiction"	"New Delhi|New York, N.Y.|"	2005	2005	"in"			"A shift in the wind"	
"mdp.39015061425164"	1	"Lessing, Doris May"	"1919-2013"	"novel"	1			"f"	"Love stories|Fiction"	"London|New York|Fourth Es"	2005	2005	"uk"			"The story of General Dann and Mara's daughter, Griot and the snow dog"	"Fiction|Global environmen"
"mdp.39015064115846"	1	"IntirÄ PÄrttacÄrati"	"1930-"	"novel"	1			"m"	"Fiction"	"New Delhi|Rupa & Co.|2005"	2005	2005	"in"	"Parthasarathy, Indira"	"Parthasarathy, R."	"Comrades of Jesus"	
"mdp.39015059204787"	2	"Erickson, Steve"	"1950-"	"novel"	2			"m"	"NotFiction"	"New York|Simon & Schuster"	2005	2005	"us"			"Our ecstatic days"	"Fiction|Millennium (Escha"
"mdp.39015060594010"	1	"Kurlansky, Mark"	"1948-"	"novel"	1			"m"	"Fiction"	"New York|Ballantine Books"	2005	2005	"us"			"Boogaloo on 2nd Avenue : a novel of pastry, guilt, and music"	"Fiction"
"mdp.39076002869191"	1	"Salibian-Best, Marie"		"novel"	1			"f"	"Fiction"	"Warfield, Berkshire [Engl"	2005	2005	"arm"			"Antaram"	"Armenians|Cyprus|Fiction|"
"mdp.39015062626232"	1	"Rendell, Ruth"	"1930-2015."	"novel"	1			"f"	"Fiction|Detective and mys"	"London|Hutchinson|2005."	2005	2005	"uk"			"End in tears"	"England|Fiction|Kings Mar"
"mdp.39015067663909"	1	"Pelton, Theodore"		"novel"	1		2000	"m"	"Fiction"	"Buffalo, N.Y.|Starcherone"	2006	2006				"Endorsed by Jack Chapeau : 2 an even greater extent"	"Short stories, American"
"mdp.39015070697662"	1	"Littlejohn, Dana"		"novel"	1		2005	"f"	"Fiction"	"BookSurge, LLC|2006"	2006	2006	"us"			"Yin/Yang Effect"	
"mdp.39015066894745"	1	"Pina, Gabrielle"		"novel"	1			"f"	"Psychological fiction|Fic"	"New York|One World/Ballan"	2006	2006	"us"			"Chasing Sophea : a novel"	"Fiction|Multiple personal"
"mdp.39015063240744"	1	"Ridgway, Keith"	"1965-"	"novel"	1			"m"	"Psychological fiction|Fic"	"London|Fourth Estate|2006"	2006	2006	"ir"			"Animals"	"Illustrators|Fiction|Arti"
"inu.30000109973788"	1	"Hollon, Frank Turner"	"1963-"	"novel"	1			"m"	"Mystery fiction|Psycholog"	"San Francisco|MacAdam/Cag"	2006	2006	"us"			"Blood and circumstance : a novel"	"Fiction|Murderers|Psychia"
"mdp.39015064866943"	1	"Nyamnjoh, Francis B"	"1961-"	"novel"	1			"m"	"Novel"	"Nairobi, Kenya|East Afric"	2006	2006	"cmr"			"A nose for money"	
"inu.30000107336434"	1	"El-Nukoya"		"novel"	1			"m"	"Fiction"	"Lagos, Nigeria|CG & S Boo"	2006	2006	"ni"			"Nine lives : a novel"	
"mdp.39015069354358"	1	"Joseph, Sheri"	"1967-"	"novel"	1			"f"	"Fiction"	"San Francisco|MacAdam/Cag"	2006	2006	"us"			"Stray : a novel"	"Musicians|Fiction|Triangl"
"mdp.39015063226115"	1	"Conrad, Christine"	"1946-"	"novel"	1			"f"	"Domestic fiction|Novel|Lo"	"Boston|Houghton Mifflin C"	2006	2006	"us"			"Mademoiselle Benoir"	"France|Young men|Fiction|"
"inu.30000116117148"	2	"H�riz, Enrique de"	"b. 1964"	"novel"	2		2004	"m"	"Fiction|Detective and mys"	"New York|Nan A. Talese/Do"	2007	2007	"es"			"Lies : a novel"	"Fiction|Missing persons|G"
"inu.30000122924032"	1	"Kamata, Suzanne"	"1965-"	"novel"	1		2008	"f"	"Fiction"	"Wellfleet, Mass.|Leapfrog"	2007	2007	"us"			"Losing Kei : a novel"	"Marital conflict|Fiction|"
"mdp.39015068802589"	1	"Faqir, Fadia"	"1956-"	"novel"	1			"f"	"Novel"	"London|Doubleday|2007."	2007	2007	"uk"			"My name is Salma"	"Honor killings|England|Fi"
"uc1.32106018997434"	1	"McAuliffe, Nichola"		"novel"	1			"f"	"Novel"	"London|Oberon|2007"	2007	2007	"uk"			"A fanny full of soap : the story of a West End musical"	"Production and direction|"
"mdp.39015066888838"	2	"Hill, Joe"	"b. 1972"	"novel"	2			"m"	"Suspense fiction|Ghost st"	"New York|William Morrow|c"	2007	2007	"us"	"Hill, Joe"	"King, Joseph Hillstrom"	"Heart-shaped box"	
"inu.30000095651000"	1	"Griffith, Nicola"	"1960-"	"novel"	1			"f"	"Mystery fiction|Fiction"	"New York|Riverhead Books|"	2007	2007				"Always"	"Lesbians|Real estate inve"
"uc1.32106019094454"	2	"Volk, Patricia"		"novel"	2			"f"	"Fiction|Humorous fiction"	"New York|Alfred A. Knopf|"	2007	2007	"us"			"To my dearest friends"	"Fiction|Female friendship"
"mdp.39015069302852"	2	"Moggach, Deborah"	"1948-"	"novel"	2			"f"	"Novel|Fiction"	"London|Chatto & Windus|c2"	2007	2007	"uk"			"In the dark"	"Social conditions|London|"
"mdp.39015055937604"	1	"Sen, Selina"		"novel"	1			"f"	"Fiction"	"New Delhi|India Ink|2007."	2007	2007	"in"			"A mirror greens in spring"	
"mdp.39015066824247"	1	"Feaver, Jane"	"1964-"	"novel"	1			"f"	"Fiction"	"London|Harvill Secker|200"	2007	2007	"uk"			"According to Ruth"	"Family relationships|Teen"
"mdp.39015077145541"	1	"Gray, Clio"		"novel"	1			"f"	"Fiction|Detective and mys"	"London|Headline|2008."	2008	2008	"uk"			"Envoy of the black pine"	"Fiction|Investigation|Sto"
"inu.30000110594508"	1	"Stovell, Sarah"	"b. 1977"	"novel"	1			"f"	"Fiction"	"London|Snowbooks|c2008."	2008	2008	"uk"			"Mothernight"	"Kent|Boarding school stud"
"mdp.39015080888038"	1	"Bordan, Hanoch"		"novel"	1			"m"	"Novel"	"Toronto|Vestibule Press|c"	2008	2008	"ca"			"So it's all right : a diary of 1961"	
"inu.30000110580952"	1	"Flynn, Katie"		"novel"	1			"f"	"Novel"	"London|Arrow|2008."	2008	2008	"uk"			"Such sweet sorrow"	"Social aspects|Fiction|So"
"mdp.39076002787351"	1	"Morrison, Toni"	"b. 1931"	"novel"	1			"f"	"Fiction|Historical fictio"	"New York|Knopf|2008."	2008	2008	"us"			"A mercy"	"Fiction|Interracial adopt"
"mdp.39015077627878"	1	"Hewton, Maida"	"1963-"	"novel"	1			"f"	"Novel"	"Wellesley, Ont.|Atoll Boo"	2008	2008				"Double up"	
"mdp.39015079149517"	1	"Brookfield, Amanda"	"1960-"	"novel"	1			"f"	"Novel"	"London|New York|Penguin|2"	2008	2008	"uk"			"Life begins"	"Fiction|Middle-aged mothe"
"mdp.39015077147133"	1	"D'Ancona, Matthew"	"1968-"	"novel"	1			"m"	"Novel|Folklore"	"London|Hodder & Stoughton"	2008	2008	"uk"			"Nothing to fear"	"Divorced women|Man-woman "
"mdp.39015073893649"	1	"PÃ©rez-Reverte, Arturo"	"1951-"	"novel"	1			"m"	"Fiction"	"New York|Random House|c20"	2008	2008	"es"		"Pérez-Reverte, Arturo"	"The painter of battles : a novel"	"War|Fiction|Psychological"
"inu.30000126685910"	1	"Ibezim, Joy Ndidiamaka"		"novel"	1			"f"	"Novel"	"Owerri, Nigeria|Alphabet "	2008	2008	"ni"			"Chiamaka"	"Youth|Nigeria|Fiction"
"mdp.39015082701189"	1	"Penney, Bridget"	"1964-"	"novel"	1			"f"	"Fiction"	"London|Book Works|c2008."	2008	2008	"uk"			"Index"	"Penney, Bridget|England|A"
"mdp.39015080841656"	1	"Barfield, Owen"	"1898-1997."	"novel"	1		1989	"m"	"Fiction"	"S.l.|Barfield Press|2009."	2009	1997	"uk"			"Eager spring"	"Spring|Fiction"
"mdp.39015078783464"	1	"Griffiths, Elly"	"b. 1963"	"novel"	1			"f"	"Novel|Detective and myste"	"London|Quercus|2009."	2009	2009	"uk"	"de Rosa, Domenica"	"Griffiths, Elly"	"The crossing places"	"Women archaeologists|Fict"
"mdp.39015080879938"	1	"Stock, Jon"	"b. 1966"	"novel"	1			"m"	"Novel|Spy stories"	"London|Blue Door|2009."	2009	2009	"uk"			"Dead spy running"	"Great Britain|Terrorism|F"
"mdp.39015084095309"	1	"Dinsdale, Robert"	"b. 1981"	"novel"	1			"m"	"Novel"	"London|Faber and Faber|20"	2009	2009	"uk"			"The harrowing"	"Leeds|England|Fiction|Bel"
"mdp.39015080844932"	1	"Flynn, Robert"	"1932-"	"novel"	1			"m"	"Western stories|Fiction"	"Fort Worth, Tex.|TCU Pres"	2009	2009	"us"			"Echoes of glory"	"Playwriting|Heroes|Fictio"
"mdp.39015079305028"	1	"Leitch, Maurice"	"1933-"	"novel"	1			"m"	"Short stories"	"Belfast|Lagan Press|2009."	2009	2009	"uk"			"Dining at the Dunbar"	
"inu.30000110613373"	1	"Kenneally, Christy"	"1948-"	"novel"	1			"m"	"Novel|Suspense fiction"	"Dublin|Hachette Books Ire"	2009	2009	"ir"			"Tears of God"	"Fiction|Flaherty, Michael"
"mdp.39015080874483"	1	"Van Name, Mark L"	"1955-"	"novel"	1			"m"	"Fiction|Science fiction"	"Riverdale, NY|Baen Pub. E"	2009	2009	"us"			"Overthrowing heaven"	"Nanotechnology|Fiction|So"
"mdp.39015078790006"	1	"Martin, Andrew"	"1962-"	"novel"	1			"m"	"Novel|Detective and myste"	"London|Faber|2009."	2009	2009	"uk"			"The last train to Scarborough"	"Stringer, Jim (Fictitious"
"mdp.39015084094443"	1	"Maynard, Joyce"	"1953-"	"novel"	1			"f"	"Fiction"	"New York|William Morrow|c"	2009	2009	"us"			"Labor Day"	"Fiction|Life change event"
"mdp.39015039750230"	1	"Bell, Catherine D. (Catherine Douglas)"	"d. 1861."	"juvenile"	1			"f"	"UnknownGenre"	"London;F. Warne;1868."	1868	1861				"Arnold Lee; or, Rich children and poor children"	
"uc1.b248026"	2	"Pansy"	"1841-1930."	"juvenile"	1			"f"	"Fiction|Juvenile audience"	"Boston;Lothrop Pub. Co.;c"	1876	1876	"us"		"Alden, Isabella MacDonald"	"Four girls at Chautauqua"	
"njp.32101067629780"	1	"Baum, L. Frank (Lyman Frank)"	"1856-1919."	"juvenile"	1			"m"	"Juvenile works|Juvenile a"	"Chicago;Reilly & Britton;"	1911	1911	"us"			"The sea fairies"	"Sea stories|Magicians|Fan"
"pst.000058017623"	2	"Sutcliff, Rosemary"	"1920-1992."	"juvenile"	2			"f"	"UnknownGenre|NotFiction"	"New York|H. Z. Walck|1954"	1954	1954	"uk"			"The eagle of the ninth"	"History|History|Fiction|R"
"pst.000063969689"	1	"Gray, Patsey"		"juvenile"	1			"f"	"NotFiction"	"New York|Coward-McCann|19"	1961	1961	"us"	"Clark, Virginia"		"Loco, the bronc"	
"mdp.39015012117514"	1	"Garfield, Leon"	"1921-1996."	"juvenile"	1			"m"	"UnknownGenre"	"New York|Pantheon Books|1"	1971	1971	"uk"			"The god beneath the sea"	
"nyp.33433074968219"	1	"Disraeli, Isaac"	"1766-1848."	"poetry"	1		1799	"m"	"Fiction"	"New York;Printed and publ"	1799	1803	"uk"		"D’Israeli, Isaac"	"Romances"	"English fiction"
"mdp.39015063955564"	1	"pseud. Pry, Peter"		"poetry"	1			"m"	"Fiction"	"London, Printed by G. Haz"	1809	1809				"Marmion travestied; a tale of modern times"	"Frederick Augustus|1771-1"
"ucm.5324386384"	1	"BarÃ³n, Byron, George Gordon Byron"	"1788-1824."	"poetry"	1	"Vol. 4"		"u"	"Fiction"	"New York;E. Duyckinck and"	1821	1821				"The works of Lord Byron"	
"nyp.33433076078231"	4	"Whitelaw, Alexander"		"poetry"	4	"v. 1"			"NotFiction"	"Glasgow;Blackie & Son [et"	1835	1835				"The republic of letters, a selection, in poetry and prose, from the works of the most eminent writers, with many original pieces"	"Literature|Collections"
"uiuo.ark:/13960/t29898z05"	3	"Harte, Bret"	"1836-1902."	"poetry"	3			"m"	"Fiction"	"San Francisco|T.C. Russel"	1926	1902	"us"			"Concepci�n de Arg�ello : (Presidio de San Francisco, 1806)"	"Arg�ello y Morago, Mar�a "
"mdp.39015038419779"	1	"Duhamel, Denise"		"poetry"	1			"f"	"NotFiction"	"Anchorage|Salmon Run Pres"	1995	1995				"The woman with two vaginas"	
"uc1.b5177491"	1	"Ilham, Abu"	"1968-"	"poetry"	1				"Poetry"	"Calicut|Other Books|2006."	2006	2006				"Mystic mist : defining the purpose of life, the submission"	"Spiritual life|Poetry|Ind"
"inu.30000115708384"	1	"Auld, Robin"	"1959-"	"poetry"	1			"m"	"Poetry"	"Cape Town|New Voices Pub."	2006	2006	"sa"			"Kelp"	
"nyp.33433082353917"	1	"Keir, Susanna Harvey"	"1747-1802."	"reprint"	1		1785	"f"	"NotFiction"	"Boston;Printed by Munroe "	1802	1802	"uk"			"Interesting memoirs"	"Children's stories, Scott"
"njp.32101073253682"	1			"reprint"	1	"v.2"	1706		"NotFiction"	"Edinburgh;Printed for the"	1802	1802				"Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies"	
"njp.32101073253690"	1			"reprint"	1	"v.1"	1706		"NotFiction"	"Edinburgh;Printed for the"	1802	1802				"Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies"	
"dul1.ark:/13960/t9f48pv82"	1			"novel"	1	"v.1"	1802		"Fiction"	"London|Printed at the Min"	1802	1802				"The castle of Caithness. A romance of the thirteenth century"	
"njp.32101072911082"	2	"Arnaud, Fran�ois-Thomas-Marie de Baculard d'"	"1718-1805."	"french"	2	"vol. 8"		"m"	"NotFiction"	"Paris;Laporte;1803."	1803	1803	"fr"			"Nouvelles historiques."	
"nyp.33433075736870"	1	"Gessner, Salomon"	"1730-1788."	"reprint"	1	"v. 2"	1788	"m"	"NotFiction"	"London;Published by James"	1805	1788				"The works of Solomon Gessner; translated from the German. With notes, critical and explanatory, to which is prefixed, a copious memoir of the life of the author"	
"nyp.33433087358515"	1	"Hunt, Leigh"	"1784-1859."	"reprint"	1	"v. 3"		"u"	"Fiction"	"London;J. Hunt and C. Rey"	1807	1807				"Johnson. Marmontel"	
"uiuo.ark+=13960=t0ns1cv4p"	2	"Sedley, Charles"		"reprint"	2	"v.1"	1701	"m"		"London;Printed by D.N. Sh"	1807	1807	"uk"			"The barouche driver and his wife"	
"uiuo.ark+=13960=t3805qq41"	3	"Sedley, Charles"		"reprint"	3	"v.2"	1701	"u"		"London;Hughes;1807."	1807	1807				"The infidel mother: or, Three winters in London"	
"uiuo.ark+=13960=t71v64v75"	3	"Sedley, Charles"		"reprint"	3	"v.1"	1701	"m"		"London;Hughes;1807."	1807	1807				"The infidel mother: or, Three winters in London"	
"mdp.39015070295814"	1	"Weber, Henry William"	"1783-1818,"	"reprint"	1				"UnknownGenre"	"Edinburgh;J. Ballantyne a"	1812	1812				"Popular romances: consisting of imaginary voyages and travels"	"Voyages, Imaginary"
"nyp.33433074926241"	1			"reprint"	1	"v. 1-2"			"UnknownGenre"	"Chiswick;Press of C. Whit"	1814	1814				"Shakespeare's jest-book"	
"pst.000005595853"	3	"Coombe, William"	"1742-1823"	"reprint"	3	"v.3-4"	1790	"m"	"NotFiction"	"London;Printed for T. Mas"	1817	1817	"uk"		"Combe, William"	"The devil upon two sticks in England : Being a continuation of Le diable boiteux of Le Sage, byy the author of Dr. Syntax's tour in search of the picturesque"	
"pst.000006661854"	3	"Coombe, William"	"1742-1823"	"reprint"	3	"v.5-6"	1790	"m"	"NotFiction"	"London;Printed for T. Mas"	1817	1817	"uk"		"Combe, William"	"The devil upon two sticks in England : Being a continuation of Le diable boiteux of Le Sage, byy the author of Dr. Syntax's tour in search of the picturesque"	
"nyp.33433074927744"	1	"Lennox, Charlotte"		"reprint"	1	"v. 25 (Female Quixote; part 2)"	1752	"f"	"NotFiction"	"London;s.n.;1820."	1820	1820	"uk"			"The British novelists; with an essay, and prefaces, biographical and critical; The female Quixote"	"English literature"
"nyp.33433074919949"	1		"1752-1840"	"reprint"	1	"v. 39, part 2 (Evelina)"	1778	"f"	"NotFiction"	"London;s.n.;1820."	1820	1820	"uk"		"Burney, Frances"	"The British novelists; with an essay, and prefaces, biographical and critical"	"English literature"
"hvd.hxjg13"	1	"abate, Furbo, Francesco"	"b. 1711."	"reprint"	1			"m"	"Fiction"	"London;Printed for Sir Ri"	1820	1820	"it"			"Andrew of Padua, the improvisatore : a tale from the Italian of the Abbate Furbo ; and The vindictive father from the Spanish of Leandra of Valladerras"	
"nyp.33433074927751"	1			"reprint"	1	"v. 24 (Female Quixote; part 1)"			"NotFiction"	"London;s.n.;1820."	1820	1820				"The British novelists; with an essay, and prefaces, biographical and critical"	"English literature"
"nyp.33433074927561"	1			"reprint"	1	"v. 46 (Udolpho, Radcliffe)"	1794		"NotFiction"	"London;s.n.;1820."	1820	1820				"Mysteries of Udolpho"	"English literature"
"nyp.33433074927611"	2			"reprint"	2	"v. 47, part 3 (Mysteries of Udolpho)"	1794	"f"	"NotFiction"	"London;s.n.;1820."	1820	1820	"uk"			"Mysteries of Udolpho"	"English literature"
"uc1.b3037092"	1			"reprint"	1	"v.3"	1753		"NotFiction"	"London;Hurst, Robinson an"	1821	1821				"Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott]"	
"uc1.b3037091"	1			"reprint"	1	"v.2"		"u"	"NotFiction"	"London;Hurst, Robinson an"	1821	1821				"Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott]"	
"mdp.39015073749023"	1			"reprint"	1	"v.33"			"Fiction"	"London;Printed for C. and"	1823	1823				"Observer"	"English essays"
